"year"," month","carrier","carrier_name","airport","airport_name","arr_flights","arr_del15","carrier_ct"," weather_ct","nas_ct","security_ct","late_aircraft_ct","arr_cancelled","arr_diverted"," arr_delay"," carrier_delay","weather_delay","nas_delay","security_delay","late_aircraft_delay",
2020,4,"9E","Endeavor Air Inc.","AEX","Alexandria, LA: Alexandria International",47.00,5.00,1.78,0.00,3.22,0.00,0.00,6.00,0.00,172.00,104.00,0.00,68.00,0.00,0.00,
2020,4,"9E","Endeavor Air Inc.","AGS","Augusta, GA: Augusta Regional at Bush Field",86.00,4.00,1.97,0.00,1.10,0.00,0.93,15.00,0.00,277.00,180.00,0.00,35.00,0.00,62.00,
2020,4,"9E","Endeavor Air Inc.","ALB","Albany, NY: Albany International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2020,4,"9E","Endeavor Air Inc.","ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International",1314.00,56.00,36.33,2.45,7.88,0.00,9.33,288.00,1.00,4619.00,3437.00,251.00,270.00,0.00,661.00,
2020,4,"9E","Endeavor Air Inc.","ATW","Appleton, WI: Appleton International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2020,4,"9E","Endeavor Air Inc.","AUS","Austin, TX: Austin - Bergstrom International",1.00,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2020,4,"9E","Endeavor Air Inc.","AVL","Asheville, NC: Asheville Regional",30.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2020,4,"9E","Endeavor Air Inc.","AZO","Kalamazoo, MI: Kalamazoo/Battle Creek International",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2020,4,"9E","Endeavor Air Inc.","BDL","Hartford, CT: Bradley International",42.00,5.00,0.05,0.00,4.05,0.00,0.89,11.00,0.00,101.00,1.00,0.00,83.00,0.00,17.00,
2020,4,"9E","Endeavor Air Inc.","BGR","Bangor, ME: Bangor International",39.00,1.00,1.00,0.00,0.00,0.00,0.00,12.00,0.00,34.00,34.00,0.00,0.00,0.00,0.00,
2020,4,"9E","Endeavor Air Inc.","BIS","Bismarck/Mandan, ND: Bismarck Municipal",59.00,3.00,0.95,0.00,2.05,0.00,0.00,6.00,0.00,72.00,21.00,0.00,51.00,0.00,0.00,
2020,4,"9E","Endeavor Air Inc.","BMI","Bloomington/Normal, IL: Central Il Regional Airport at Bloomington",30.00,6.00,3.00,0.00,3.00,0.00,0.00,0.00,0.00,246.00,154.00,0.00,92.00,0.00,0.00,
